date;in_hospital;indicator;life_expectancy;new_cases;new_deaths;new_tests;new_vaccinations;people_fully_vaccinated;people_vaccinated;total_cases;total_vaccinations
2022-01-27T00:00:00.000Z;43015;Daily ICU occupancys;6.929.811.403.508.770;16250920;43186;0;69496481;14454886853;17035689345;1548228059;38392760047
2022-01-26T00:00:00.000Z;44925;Daily ICU occupancy;6.929.811.403.508.770;16600564;45700;6529931;98417101;14874145874;17492975278;1531977139;39540839961
2022-01-25T00:00:00.000Z;44129;Daily ICU occupancy;6.899.550.218.340.610;16294042;44215;9210616;102463170;14864904937;17499035361;1515376575;39515491828
2022-01-24T00:00:00.000Z;44542;Daily ICU occupancy;6.899.550.218.340.610;14994943;35832;9091047;86106836;14887168222;17688635311;1499082533;39688459477
2022-01-23T00:00:00.000Z;44508;Daily ICU occupancy;6.869.552.173.913.040;10428117;20131;8578706;107069398;14851502447;17492169982;1484087590;39431777643
2022-01-22T00:00:00.000Z;44620;Daily ICU occupancy;6.869.552.173.913.040;11739254;24885;10321324;88812128;14610379099;17229628028;1473659473;38688778893
2022-01-21T00:00:00.000Z;45053;Daily ICU occupancy;6.873.991.341.991.340;16679543;40847;13252772;123119275;15865312473;18520459855;1461920219;38689420317
2022-01-20T00:00:00.000Z;45448;Daily ICU occupancy;6.873.991.341.991.340;15975815;39318;14910085;118909240;14846460165;17451299203;1445240676;39097386898
2022-01-19T00:00:00.000Z;46360;Daily ICU occupancy;6.873.991.341.991.340;18398965;43889;15126533;157863078;14856815543;17473028665;1429264861;39061249145
2022-01-18T00:00:00.000Z;45833;Daily ICU occupancy;6.870.206.896.551.720;16144576;38718;14411334;99294608;15041848473;17540281768;1410865896;39196797362
2022-01-17T00:00:00.000Z;45465;Daily ICU occupancy;6.870.206.896.551.720;11798744;26182;12694912;121784510;14521119226;17356573866;1394721320;38726961380
2022-01-16T00:00:00.000Z;45258;Daily ICU occupancy;6.870.206.896.551.720;9143631;17451;10628487;115644430;14533769106;17382284273;1382922576;38767817666
2022-01-15T00:00:00.000Z;45147;Daily ICU occupancy;6.870.206.896.551.720;10477372;25488;12163942;119012845;14248124237;17153612143;1373778945;38130515123
