months;date;en_hospital;indicator;life_expectancy;new_cases;new_tests;new_vaccinations;nuevas_muertes;nuevas_vacunas;nuevos_casos;people_fully_vaccinated;people_vaccinated;total_cases;total_vaccinations
10;2020-11-01T05:00:00.000Z;13,41001;Daily ICU occupancy;6;74468001;171956660;0;1199676;0;744680;0;0;6874575879;0
9;2020-10-01T05:00:00.000Z;7,62208;Daily ICU occupancy;6;51922814;156286256;0;764514;0;519228;0;0;5048422474;0
8;2020-09-01T05:00:00.000Z;4,96645;Daily ICU occupancy;6;34966032;122722667;0;667216;0;349660;0;0;3653016401;0
7;2020-08-01T05:00:00.000Z;5,35244;Daily ICU occupancy;6;32244518;101688135;0;737544;0;322445;0;0;2739576718;0
6;2020-07-01T05:00:00.000Z;3,50727;Daily ICU occupancy;6;28649593;80553643;0;707240;0;286495;0;0;1768477677;0
5;2020-06-01T05:00:00.000Z;1,40551;Daily ICU occupancy;6;17287296;58208551;0;587606;0;172872;0;0;1023202342;0
4;2020-05-01T05:00:00.000Z;2,77541;Daily ICU occupancy;6;11776259;43025602;0;621832;0;117762;0;0;613660173;0
3;2020-04-01T05:00:00.000Z;5,87573;Daily ICU occupancy;6;10183341;21475793;0;861245;0;101833;0;0;276414353;0
2;2020-03-01T05:00:00.000Z;1,39442;Daily ICU occupancy;6;3557342;4650722;0;195094;0;35573;0;0;39746153;0
1;2020-02-01T05:00:00.000Z;0,00346;Daily ICU occupancy;6;304387;162109;0;10939;0;3043;0;0;6673613;0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
